#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321A36D43
#Date Time: 2021-02-23 16:27:53.704
#Start: 1 Hz
#Stop: 1e+06 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.43721 V
#Offset: 0.000278555 V
#Relative: no
#Channel: Channel 2
#Range: 5.4363 V
#Offset: -0.000305248 V
#Relative: yes
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -5 V

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1.000000000000002,-0.002135660209784686,9.457128634225191,-108.2945202878888
1.096478196143188,9.270062740553393e-05,10.14963686799405,-109.7463555668378
1.202264434617416,-0.01240102004347938,10.86420971063976,-111.5220195675755
1.31825673855641,0.01455592603956299,11.52729501687264,-113.1087990818853
1.445439770745928,-0.006266708016350202,12.20431412453981,-115.2117408914079
1.584893192461118,0.008644716916269278,12.83744812671258,-117.0777131942206
1.73780082874938,0.01811583910788586,13.43844482728704,-119.310427995276
1.905460717963249,0.008973336674848753,14.04012902583637,-121.5120673677429
2.089296130854045,-0.005175788833577943,14.62336439554557,-123.7858900944547
2.29086765276778,0.01442899728655181,15.13953443695214,-126.151546329522
2.511886431509582,-0.01427745455546731,15.66594579221481,-128.5184870617568
2.754228703338175,-0.005683634709734191,16.11213559311307,-131.3821935506537
3.01995172040202,0.005170807589741661,16.53466630202307,-133.8474914612171
3.311311214825915,-0.004088367230953763,16.93584798018149,-136.3688129552378
3.630780547701026,0.007967893412875106,17.28379535824727,-138.957994051232
3.981071705534978,0.01224663845999014,17.6119471495566,-141.6265784361148
4.365158322401665,-0.0002641264165819026,17.91047026443533,-144.1752242209078
4.786300923226391,-0.00613630656206919,18.17776636493157,-146.5931806997408
5.248074602497735,0.009559000525065227,18.39275685780174,-148.872357720706
5.754399373371579,0.0007667695327466089,18.60123222296898,-151.1645409310098
6.309573444801944,-0.009518861322363514,18.79027248194683,-153.1577193468582
6.918309709189378,-0.01568956618848765,18.95501748955916,-155.2250491334427
7.585775750291853,-0.01050381433081178,19.08589920095352,-157.1010605621128
8.317637711026727,-0.002202764785107429,19.20536961414037,-158.9677705342737
9.120108393559116,-0.008584195694396845,19.30228076444254,-160.6506357621815
10.00000000000002,-0.009880624000971077,19.38794501907363,-162.1722343639674
10.96478196143187,-0.002537489495431074,19.44614420636209,-163.5908206898432
12.02264434617413,0.001961540957151208,19.50932043017862,-164.9506205236008
13.1825673855641,-0.007820995673923591,19.56343957976257,-166.2678232623175
14.45439770745931,0.01073430111499081,19.5888791886842,-167.3213068588905
15.84893192461114,-0.0001705830052949846,19.64700631730243,-168.4227705818811
17.3780082874938,0.003434652080469828,19.68811123857859,-169.4999236360337
19.05460717963252,0.0006755901525546663,19.70678221117774,-170.414812500784
20.89296130854041,0.006734249138406555,19.71785170920511,-171.3238123910532
22.90867652767779,0.01180599731072737,19.73690773140142,-171.9871972121828
25.11886431509588,0.008042687796048116,19.75582015854875,-172.5993029859947
27.54228703338169,0.0157516735490638,19.76034258612738,-173.1908959429587
30.19951720402026,2.216213712883467e-05,19.78513648069787,-173.9066572963555
33.11311214825921,-0.002956177946189841,19.80112139452369,-174.3904240033276
36.30780547701018,0.01593809387435047,19.79788148032442,-174.9502313548259
39.81071705534978,-0.003374852115632925,19.81367844388685,-175.3896902381993
43.65158322401666,0.02279873442976581,19.80795922993647,-175.7885017840963
47.86300923226391,-0.01455986334407028,19.8426370786961,-176.1821967140407
52.48074602497734,-0.01379923501794946,19.83715300492508,-176.3961769527897
57.54399373371579,-0.02926612138784054,19.84998758858388,-176.9078485124936
63.09573444801944,-0.01140801309624429,19.85496464177504,-177.2067308159408
69.18309709189377,0.017423655276342,19.82356942985503,-177.4897716657381
75.85775750291852,0.01737152785065253,19.82462446238947,-177.7017525215127
83.17637711026727,0.01290834535908335,19.83594659815248,-177.8804715611911
91.20108393559116,-0.0172073428154746,19.84450832969966,-178.1529496371116
100,-0.01361118981202109,19.87254267926857,-178.2986866595868
109.6478196143187,-0.004335243247910655,19.84174333270824,-178.55963311024
120.2264434617415,-0.008961693403732941,19.85642744162824,-178.6898467756134
131.8256738556408,0.01486739317349034,19.84375815810927,-178.9010731546138
144.543977074593,-0.01196470678299334,19.86429963181753,-179.0610843794162
158.4893192461116,-0.02127450401647728,19.8496903794451,-179.3090512597166
173.7800828749376,0.02469171930597995,19.85467388009051,-179.327758128373
190.5460717963251,-0.02864650762022583,19.86812238348415,-179.5012079712025
208.9296130854043,0.01667686386326754,19.8462650702737,-179.6671351781361
